Using GATK jar /hpc/packages/minerva-centos7/gatk/4.3.0.0/gatk-4.3.0.0/gatk-package-4.3.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /hpc/packages/minerva-centos7/gatk/4.3.0.0/gatk-4.3.0.0/gatk-package-4.3.0.0-local.jar BaseRecalibrator -I /sc/arion/projects/vascbrain/WGS_iPSC/aligned_reads/P931263_sorted_dedup_reads.bam -R /sc/arion/projects/vascbrain/WGS_iPSC/hg38_bundle_wget/Homo_sapiens_assembly38.fasta --known-sites /sc/arion/projects/vascbrain/WGS_iPSC/hg38_bundle_wget/Homo_sapiens_assembly38.dbsnp138.vcf -O /sc/arion/projects/vascbrain/WGS_iPSC/data/recal_63data.table
16:29:21.333 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/hpc/packages/minerva-centos7/gatk/4.3.0.0/gatk-4.3.0.0/gatk-package-4.3.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:29:38.063 INFO  BaseRecalibrator - ------------------------------------------------------------
16:29:38.063 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.3.0.0
16:29:38.063 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
16:29:38.064 INFO  BaseRecalibrator - Executing as palafm01@lc02g06 on Linux v3.10.0-1160.el7.x86_64 amd64
16:29:38.064 INFO  BaseRecalibrator - Java runtime: Java HotSpot(TM) 64-Bit Server VM v1.8.0_211-b12
16:29:38.064 INFO  BaseRecalibrator - Start Date/Time: May 20, 2024 4:29:21 PM EDT
16:29:38.064 INFO  BaseRecalibrator - ------------------------------------------------------------
16:29:38.064 INFO  BaseRecalibrator - ------------------------------------------------------------
16:29:38.064 INFO  BaseRecalibrator - HTSJDK Version: 3.0.1
16:29:38.065 INFO  BaseRecalibrator - Picard Version: 2.27.5
16:29:38.065 INFO  BaseRecalibrator - Built for Spark Version: 2.4.5
16:29:38.065 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:29:38.065 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:29:38.065 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:29:38.065 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:29:38.065 INFO  BaseRecalibrator - Deflater: IntelDeflater
16:29:38.065 INFO  BaseRecalibrator - Inflater: IntelInflater
16:29:38.065 INFO  BaseRecalibrator - GCS max retries/reopens: 20
16:29:38.065 INFO  BaseRecalibrator - Requester pays: disabled
16:29:38.065 INFO  BaseRecalibrator - Initializing engine
16:29:38.768 INFO  FeatureManager - Using codec VCFCodec to read file file:///sc/arion/projects/vascbrain/WGS_iPSC/hg38_bundle_wget/Homo_sapiens_assembly38.dbsnp138.vcf
16:29:38.981 INFO  BaseRecalibrator - Done initializing engine
16:29:38.983 INFO  BaseRecalibrationEngine - The covariates being used here: 
16:29:38.983 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
16:29:38.983 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
16:29:38.983 INFO  BaseRecalibrationEngine - 	ContextCovariate
16:29:38.983 INFO  BaseRecalibrationEngine - 	CycleCovariate
16:29:39.030 INFO  ProgressMeter - Starting traversal
16:29:39.030 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
16:29:49.033 INFO  ProgressMeter -         chr1:2010640              0.2                414000        2483503.3
16:29:59.054 INFO  ProgressMeter -         chr1:3728730              0.3                874000        2618988.2
16:30:09.054 INFO  ProgressMeter -         chr1:5996008              0.5               1328000        2653876.9
16:30:19.058 INFO  ProgressMeter -         chr1:7925580              0.7               1790000        2683121.8
16:30:29.079 INFO  ProgressMeter -        chr1:10292902              0.8               2251000        2698555.4
16:30:39.088 INFO  ProgressMeter -        chr1:12192729              1.0               2715000        2712378.0
16:30:49.090 INFO  ProgressMeter -        chr1:15176607              1.2               3164000        2709677.4
16:30:59.098 INFO  ProgressMeter -        chr1:16998880              1.3               3625000        2716441.0
16:31:09.104 INFO  ProgressMeter -        chr1:18898464              1.5               4088000        2723124.6
16:31:19.109 INFO  ProgressMeter -        chr1:21245333              1.7               4547000        2726073.7
16:31:29.134 INFO  ProgressMeter -        chr1:23227526              1.8               5009000        2729601.1
16:31:39.135 INFO  ProgressMeter -        chr1:25556726              2.0               5470000        2732609.0
16:31:49.144 INFO  ProgressMeter -        chr1:27575161              2.2               5939000        2738675.3
16:31:59.160 INFO  ProgressMeter -        chr1:29903257              2.3               6403000        2741597.1
16:32:09.178 INFO  ProgressMeter -        chr1:32084445              2.5               6865000        2743293.3
16:32:19.179 INFO  ProgressMeter -        chr1:34405545              2.7               7324000        2743944.7
16:32:29.187 INFO  ProgressMeter -        chr1:36855196              2.8               7785000        2745111.9
16:32:39.187 INFO  ProgressMeter -        chr1:39135798              3.0               8245000        2745938.3
16:32:49.197 INFO  ProgressMeter -        chr1:41582910              3.2               8705000        2746533.3
16:32:59.210 INFO  ProgressMeter -        chr1:43982990              3.3               9165000        2747027.7
16:33:09.225 INFO  ProgressMeter -        chr1:46401120              3.5               9626000        2747747.3
16:33:19.234 INFO  ProgressMeter -        chr1:49070877              3.7              10083000        2747361.5
16:33:29.250 INFO  ProgressMeter -        chr1:52558177              3.8              10538000        2746416.5
16:33:39.269 INFO  ProgressMeter -        chr1:54786619              4.0              11000000        2747275.6
16:33:49.286 INFO  ProgressMeter -        chr1:57999912              4.2              11448000        2744709.4
16:33:59.294 INFO  ProgressMeter -        chr1:61462380              4.3              11895000        2742215.6
16:34:09.297 INFO  ProgressMeter -        chr1:64583732              4.5              12342000        2739957.2
16:34:19.314 INFO  ProgressMeter -        chr1:68149316              4.7              12785000        2736866.9
16:34:29.316 INFO  ProgressMeter -        chr1:72577470              4.8              13223000        2733097.7
16:34:39.322 INFO  ProgressMeter -        chr1:76897231              5.0              13659000        2729143.6
16:34:49.332 INFO  ProgressMeter -        chr1:81138555              5.2              14095000        2725409.4
16:34:59.346 INFO  ProgressMeter -        chr1:85186659              5.3              14531000        2721874.6
16:35:09.368 INFO  ProgressMeter -        chr1:89034272              5.5              14975000        2719982.6
16:35:19.380 INFO  ProgressMeter -        chr1:92539658              5.7              15422000        2718738.7
16:35:29.386 INFO  ProgressMeter -        chr1:95806520              5.8              15873000        2718328.6
16:35:39.388 INFO  ProgressMeter -       chr1:100229804              6.0              16307000        2715133.3
16:35:49.407 INFO  ProgressMeter -       chr1:104953719              6.2              16731000        2710380.8
16:35:59.407 INFO  ProgressMeter -       chr1:109257727              6.3              17164000        2707419.2
16:36:09.418 INFO  ProgressMeter -       chr1:111883371              6.5              17621000        2708228.7
16:36:19.424 INFO  ProgressMeter -       chr1:114763110              6.7              18076000        2708731.9
16:36:29.445 INFO  ProgressMeter -       chr1:117983245              6.8              18524000        2708088.2
16:36:39.451 INFO  ProgressMeter -       chr1:122579936              7.0              18970000        2707286.3
